==============================================================
KNN - SONG MOOD CLASSIFIER (SPOTIFY 2019)
==============================================================
Dataset        : dataset_mahasiswa.csv
Total Data     : ...
==============================================================

HASIL K = 3
--------------------------------------------------------------
Data ke-1 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-190 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-191 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-192 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-193 | Actual: Sad          | Predicted: Energetic    | Salah
Data ke-194 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-195 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-196 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-197 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-198 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-199 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-200 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-201 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-202 | Actual: Chill        | Predicted: Happy        | Salah
Data ke-203 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-204 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-205 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-206 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-207 | Actual: Chill        | Predicted: Sad          | Salah
Data ke-208 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-209 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-210 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-211 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-212 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-213 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-214 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-215 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-216 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-217 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-218 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-219 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-220 | Actual: Chill        | Predicted: Energetic    | Salah
Data ke-221 | Actual: Energetic    | Predicted: Sad          | Salah
Data ke-222 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-223 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-224 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-225 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-226 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-227 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-228 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-229 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-230 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-231 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-232 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-233 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-234 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-235 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-236 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-237 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-238 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-239 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-240 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-241 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-242 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-243 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-244 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-245 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-246 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-247 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-248 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-249 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-250 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-251 | Actual: Energetic    | Predicted: Sad          | Salah
Data ke-252 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-253 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-254 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-255 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-256 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-257 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-258 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-259 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-260 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-261 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-262 | Actual: Chill        | Predicted: Happy        | Salah
Data ke-263 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-264 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-265 | Actual: Happy        | Predicted: Energetic    | Salah
Data ke-266 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-267 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-268 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-269 | Actual: Happy        | Predicted: Chill        | Salah
Data ke-270 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-271 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-272 | Actual: Chill        | Predicted: Happy        | Salah
Data ke-273 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-274 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-275 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-276 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-277 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-278 | Actual: Energetic    | Predicted: Happy        | Salah
Data ke-279 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-280 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-281 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-282 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-283 | Actual: Sad          | Predicted: Chill        | Salah
Data ke-284 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-285 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-286 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-287 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-288 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-289 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-290 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-291 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-292 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-293 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-294 | Actual: Happy        | Predicted: Energetic    | Salah
Data ke-295 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-296 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-297 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-298 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-299 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-300 | Actual: Sad          | Predicted: Sad          | Benar

AKURASI: 83.00%
K = 3  | Accuracy: 83.00%
==============================================================

Confusion Matrix:
                           Energetic           Chill             Sad           Happy
Energetic                         39               0               8               5
Chill                              1              47               6              10
Sad                                6               1              85               1
Happy                              8               3               2              78
==============================================================

HASIL K = 5
--------------------------------------------------------------
Data ke-1 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-2 | Actual: Chill        | Predicted: Sad          | Salah
Data ke-3 | Actual: Chill        | Predicted: Sad          | Salah
Data ke-4 | Actual: Sad          | Predicted: Energetic    | Salah
Data ke-5 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-6 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-7 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-8 | Actual: Chill        | Predicted: Sad          | Salah
Data ke-9 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-10 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-11 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-12 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-13 | Actual: Sad          | Predicted: Energetic    | Salah
Data ke-14 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-15 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-16 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-17 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-18 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-19 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-20 | Actual: Happy        | Predicted: Energetic    | Salah
Data ke-21 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-22 | Actual: Happy        | Predicted: Energetic    | Salah
Data ke-23 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-24 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-25 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-26 | Actual: Chill        | Predicted: Sad          | Salah
Data ke-27 | Actual: Happy        | Predicted: Energetic    | Salah
Data ke-28 | Actual: Chill        | Predicted: Sad          | Salah
Data ke-29 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-30 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-31 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-32 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-33 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-34 | Actual: Chill        | Predicted: Happy        | Salah
Data ke-35 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-36 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-37 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-38 | Actual: Happy        | Predicted: Energetic    | Salah
Data ke-39 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-40 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-41 | Actual: Energetic    | Predicted: Happy        | Salah
Data ke-42 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-43 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-44 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-45 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-46 | Actual: Chill        | Predicted: Happy        | Salah
Data ke-47 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-48 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-49 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-50 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-51 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-52 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-53 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-54 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-55 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-56 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-57 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-58 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-59 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-60 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-61 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-62 | Actual: Happy        | Predicted: Energetic    | Salah
Data ke-63 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-64 | Actual: Energetic    | Predicted: Happy        | Salah
Data ke-65 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-66 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-67 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-68 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-69 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-70 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-71 | Actual: Sad          | Predicted: Energetic    | Salah
Data ke-72 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-73 | Actual: Chill        | Predicted: Happy        | Salah
Data ke-74 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-75 | Actual: Happy        | Predicted: Energetic    | Salah
Data ke-76 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-77 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-78 | Actual: Sad          | Predicted: Happy        | Salah
Data ke-79 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-80 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-81 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-82 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-83 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-84 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-85 | Actual: Happy        | Predicted: Sad          | Salah
Data ke-86 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-87 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-88 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-89 | Actual: Energetic    | Predicted: Sad          | Salah
Data ke-90 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-91 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-92 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-93 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-94 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-95 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-96 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-97 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-98 | Actual: Happy        | Predicted: Energetic    | Salah
Data ke-99 | Actual: Sad          | Predicted: Energetic    | Salah
Data ke-100 | Actual: Energetic    | Predicted: Sad          | Salah
Data ke-101 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-102 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-103 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-104 | Actual: Happy        | Predicted: Energetic    | Salah
Data ke-105 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-106 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-107 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-108 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-109 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-110 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-111 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-112 | Actual: Chill        | Predicted: Sad          | Salah
Data ke-113 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-114 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-115 | Actual: Chill        | Predicted: Sad          | Salah
Data ke-116 | Actual: Happy        | Predicted: Energetic    | Salah
Data ke-117 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-118 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-119 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-120 | Actual: Chill        | Predicted: Sad          | Salah
Data ke-121 | Actual: Chill        | Predicted: Sad          | Salah
Data ke-122 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-123 | Actual: Chill        | Predicted: Chill        | Benar
Data ke-124 | Actual: Happy        | Predicted: Happy        | Benar
Data ke-125 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-126 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-127 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-128 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-129 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-130 | Actual: Chill        | Predicted: Sad          | Salah
Data ke-131 | Actual: Sad          | Predicted: Sad          | Benar
Data ke-132 | Actual: Energetic    | Predicted: Energetic    | Benar
Data ke-133 | Actual: Energetic    | Predicted: Sad          | Salah
Data ke-134 | Actual: Happy        | Predicted: Happy        | Benar
